Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that All the Options in Type Field are accessible.,RET-40,10137,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain Percentage and Fixed Amount as Options.
3. Only One Option Should Select.
4. It should be Percentage by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000tz:,,RET Sprint 2,,,,,,,,Done
Verify The Type Field's type.,RET-39,10136,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It's Type Should be a Drop Down List.
2. It Should contain Percentage and Fixed Amount as Options.
3. Only One Option Should Select.
4. It should be Percentage by Default.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000tr:,,RET Sprint 2,,,,,,,,Done
Verify the Code Field's Placeholder.,RET-38,10135,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"It Should be ""Code"".",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000tj:,,RET Sprint 2,,,,,,,,Done
Verify the Code Field with Special Characters.,RET-37,10134,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 10 Characters.
2. It can be AlphaNumeric, Only Alphabets,  Only Numeric, Special Characters.
3. No Blank Value.
4. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000tb:,,RET Sprint 2,,,,,,,,Done
Verify the Code Field with only Letter.,RET-36,10133,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 10 Characters.
2. It can be AlphaNumeric, Only Alphabets,  Only Numeric, Special Characters.
3. No Blank Value.
4. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000t3:,,RET Sprint 2,,,,,,,,Done
Verify the Code Field with only Numeric Character.,RET-35,10132,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 10 Characters.
2. It can be AlphaNumeric, Only Alphabets,  Only Numeric, Special Characters.
3. No Blank Value.
4. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000sv:,,RET Sprint 2,,,,,,,,Done
Verify the Code Field with 6 AlphaNumeric Character.,RET-34,10131,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 10 Characters.
2. It can be AlphaNumeric, Only Alphabets,  Only Numeric, Special Characters.
3. No Blank Value.
4. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000sn:,,RET Sprint 2,,,,,,,,Done
Verify the Code Field with less than 3 AlphaNumeric Character.,RET-33,10130,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 10 Characters.
2. It can be AlphaNumeric, Only Alphabets,  Only Numeric, Special Characters.
3. No Blank Value.
4. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000sf:,,RET Sprint 2,,,,,,,,Done
Verify the Code Field with more than 10 AlphaNumeric Character.,RET-32,10129,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 10 Characters.
2. It can be AlphaNumeric, Only Alphabets,  Only Numeric, Special Characters.
3. No Blank Value.
4. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000s7:,,RET Sprint 2,,,,,,,,Done
Verify The Code Field with Blank Value.,RET-31,10128,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 10 Characters.
2. It can be AlphaNumeric, Only Alphabets,  Only Numeric, Special Characters.
3. No Blank Value.
4. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000rz:,,RET Sprint 2,,,,,,,,Done
Verify The Code Field with White Space.,RET-30,10127,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 10 Characters.
2. It can be AlphaNumeric, Only Alphabets,  Only Numeric, Special Characters.
3. No Blank Value.
4. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000rr:,,RET Sprint 2,,,,,,,,Done
Verify the Coupon Name Field's Placeholder.,RET-29,10126,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000rj:,,RET Sprint 2,,,,,,,,Done
Verify the Coupon Name Field with only Numeric Character.,RET-28,10125,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,18/Feb/22 12:53 PM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 128 Characters.
2. It can be AlphaNumeric Only Alphabets,  Only Numeric.
3. No Special Character allowed.
4. No Blank Value.
5. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000rb:,,RET Sprint 2,,,,,,,,Done
Verify the Coupon Name Field with Special Characters.,RET-27,10124,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 128 Characters.
2. It can be AlphaNumeric Only Alphabets,  Only Numeric.
3. No Special Character allowed.
4. No Blank Value.
5. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000r3:,,RET Sprint 2,,,,,,,,Done
Verify the Coupon Name Field with more than 5 Characters.,RET-26,10123,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 128 Characters.
2. It can be AlphaNumeric Only Alphabets,  Only Numeric.
3. No Special Character allowed.
4. No Blank Value.
5. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000qv:,,RET Sprint 2,,,,,,,,Done
Verify the Coupon Name Field with less than 3 Characters.,RET-25,10122,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 128 Characters.
2. It can be AlphaNumeric Only Alphabets,  Only Numeric.
3. No Special Character allowed.
4. No Blank Value.
5. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000qn:,,RET Sprint 2,,,,,,,,Done
Verify the Coupon Name Field with more than 128 Characters.,RET-24,10121,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 128 Characters.
2. It can be AlphaNumeric Only Alphabets,  Only Numeric.
3. No Special Character allowed.
4. No Blank Value.
5. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000qf:,,RET Sprint 2,,,,,,,,Done
Verify the Coupon Name Field with Blank Value.,RET-23,10120,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 128 Characters.
2. It can be AlphaNumeric Only Alphabets,  Only Numeric.
3. No Special Character allowed.
4. No Blank Value.
5. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000q7:,,RET Sprint 2,,,,,,,,Done
Verify the Coupon Name Field with White Space.,RET-22,10119,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,"Acceptance Criteria :-

1. It Must be Between 3 and 128 Characters.
2. It can be AlphaNumeric Only Alphabets,  Only Numeric.
3. No Special Character allowed.
4. No Blank Value.
5. Only White Spaces also Not Allowed.",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000pz:,,RET Sprint 2,,,,,,,,Done
Verify mass deleting of Coupons.,RET-21,10118,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,21/Feb/22 10:05 AM,18/Feb/22 3:44 PM,,0,Click on the Select All Checkbox or individually for mass Deleting.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000oq:i,,RET Sprint 2,,,,,,,,Done
Verify the Checkboxes.,RET-20,10117,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,18/Feb/22 11:24 AM,18/Feb/22 3:44 PM,,0,Verify the Checkboxes that It's Clickable or Not. For Single or more than one entries.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000oq:,,RET Sprint 2,,,,,,,,Done
Verify the Add New Button.,RET-19,10116,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,18/Feb/22 11:27 AM,18/Feb/22 3:44 PM,,0,Verify the Add New Button that it redirect to the Add Coupon page.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000op:,,RET Sprint 2,,,,,,,,Done
Verify the Edit Button.,RET-18,10115,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,18/Feb/22 12:23 PM,18/Feb/22 3:44 PM,,0,Verify the Edit Button that it redirect to the edit page.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000oo:,,RET Sprint 2,,,,,,,,Done
Verify The Delete Button.,RET-17,10114,Test,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 10:41 AM,18/Feb/22 3:44 PM,18/Feb/22 10:58 AM,18/Feb/22 3:44 PM,,0,Verify The Delete Button with single or more than one entries.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-16,,,,,,,,,,,,,{},,,,,,,0|i000p1:,,RET Sprint 2,,,,,,,,Done
Verify The Coupon Section.,RET-16,10113,Story,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,18/Feb/22 10:33 AM,18/Feb/22 3:55 PM,18/Feb/22 12:25 PM,18/Feb/22 3:37 PM,,0,"Steps :- 

# Marketing.
#  Coupon.",,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,,,RET-18,RET-137,RET-138,RET-139,RET-140,RET-141,RET-142,,,,,,,{},,,,,,,0|i000ol:,,RET Sprint 2,,,,,,,,Done
Verify the Customer Order Report Section.,RET-15,10112,Story,Done,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,Done,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,18/Feb/22 10:31 AM,18/Feb/22 3:37 PM,18/Feb/22 12:26 PM,18/Feb/22 3:37 PM,,0,"Steps :- 

# Report.
#  Customer.
#  Order.",,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,,,RET-135,,,,,,,,,,,,,{},,,,,,,0|i000of:,,RET Sprint 2,,,,,,,,Done
Drop Down menu for Catagories in Coupon isn't working.,RET-12,10011,Bug,To Do,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,15/Feb/22 2:27 PM,18/Feb/22 3:55 PM,18/Feb/22 3:54 PM,,,0,"h1. Drop Down menu for Catagory in Coupon isn't working.

Steps To Reproduce

# Navigate to the application’s Marketing section.
# Click on edit for any previous added Coupons.
# Click on Catagory to see the Drop Down menu.
# Click on 2nd option “AirConditionLG“.

Expected Result

LG TV should be selected upon clicking the option.

Actual Result

Nothing happens

Screenshot

!image-20220215-085622.png|width=718,height=214!",,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,RET-68,RET-16,RET-68,,,,,,,15/Feb/22 2:27 PM;ug:03f44e7f-288d-4758-8be1-ab7cb4280380;image-20220215-085622.png;https://ibmhaldia6.atlassian.net/secure/attachment/10002/image-20220215-085622.png,,,,,,{},,,,,,,0|i00021:,,RET Sprint 2,,,,,,,,To Do
Drop Down menu for product in Coupon isn't working.,RET-11,10010,Bug,To Do,RET,Retail,software,Rajat Das,620b325df4d8af0070fca320,,Medium,,,,Rajat Das,620b325df4d8af0070fca320,Rajat Das,620b325df4d8af0070fca320,15/Feb/22 2:17 PM,18/Feb/22 3:55 PM,18/Feb/22 3:46 PM,,,0,"h1. Drop Down menu for product in Coupon isn't working.

Steps To Reproduce 

# Navigate to the application’s Marketing section.
# Click on edit for any previous added Coupons.
# Click on Product to see the Drop Down menu.
# Click on 2nd option “AirConditionLG“.

Expected Result

AirConditionLG should be selected upon clicking the option.

Actual Result 

Nothing happens

Screenshot

!image-20220215-085243.png|width=602,height=224!",,Rajat Das,620b325df4d8af0070fca320,,,,,,,,,RET-63,,RET-63,,,,,,,15/Feb/22 2:22 PM;ug:03f44e7f-288d-4758-8be1-ab7cb4280380;image-20220215-085243.png;https://ibmhaldia6.atlassian.net/secure/attachment/10001/image-20220215-085243.png,,,,,,{},,,,,,,0|i00020:,,RET Sprint 2,,,,,,,,To Do
